id;longitude;latitude;agriculture;urbanization;species_richness;weighted_mpd;synchrony;weighted_mean_cvpop;CV_com
33_1634;365100;1970200;-0.091091325;-1.013714573;39;119.0823043;0.018362818;0.545810369;0.073962477
47_539;443100;1938200;1.153133035;-1.004713804;50;115.1953975;0.054055222;0.351116191;0.081633738
14_1328;377100;2432200;-0.033431092;-1.003916078;37;108.7470922;0.035482371;0.41248133;0.077698139
1_935;795100;2116200;-0.144681672;-0.997936172;46;105.5750235;0.092745146;0.516578896;0.15731939
35_1591;281100;2318200;0.841249655;-0.952840437;47;111.986624;0.087349122;0.384601029;0.113668391
71_345;795100;2212200;-0.731086324;-0.949004705;38;114.8342883;0.074334361;0.359286178;0.097956964
86_649;459100;2186200;-0.511673491;-0.922286317;44;109.2544383;0.033020988;0.487529232;0.088592242
53_964;363100;2334200;-0.039643833;-0.921791623;45;109.7139229;0.140820999;0.547151116;0.205324607
21_1306;761100;2262200;-1.767441323;-0.89704268;52;95.34014334;0.050691452;0.409776004;0.092260093
58_1409;661100;2208200;-1.408542034;-0.88678381;46;94.72826378;0.201186875;0.428247941;0.192085732
26_398;813100;1994200;1.186058273;-0.883962845;45;121.5924794;0.418400587;1.096577065;0.709308724
8_169;779100;2544200;-1.221937244;-0.882825114;42;102.7046939;0.07704122;0.401634786;0.111478957
16_748;443100;2084200;-1.267574155;-0.868706275;40;101.6079254;0.078379765;0.414859297;0.116145612
15_424;607100;2018200;-2.104474964;-0.844695192;42;102.0296692;0.113340019;0.648816448;0.218430607
1_914;835100;2118200;0.123848928;-0.84460669;55;100.2779055;0.048366324;0.535622885;0.117796033
52_389;801100;2372200;0.864641506;-0.834178612;53;98.69956721;0.252919944;0.786710282;0.395645622
89_145;657100;2360200;0.56348722;-0.833694216;47;111.6595307;0.065911604;0.483447104;0.12411661
14_1400;371100;2426200;-0.433786012;-0.814934002;38;108.3869768;0.129219274;0.423633809;0.152283995
44_456;249100;2286200;0.637550294;-0.813103526;45;112.4953026;0.048723496;0.422606376;0.093283593
58_1113;669100;2224200;-1.560359712;-0.809340737;26;118.4256892;0.156426741;0.52373839;0.207142831
47_219;467100;1954200;0.630868599;-0.807280125;45;112.6887044;0.078039067;0.429814276;0.120070653
40_976;305100;1896200;-0.401935122;-0.803139389;45;97.16358851;0.041202682;0.709207625;0.14395811
37_506;465100;2264200;0.542054127;-0.793987008;50;109.614664;0.153056622;0.625586133;0.244744632
39_849;883100;2182200;-2.551846604;-0.788830149;45;88.53388635;0.021149684;0.50128941;0.072902172
86_1114;453100;2162200;0.778201676;-0.784642492;46;107.7104006;0.070268784;0.477078348;0.126465168
54_815;865100;2408200;-0.548204784;-0.771519338;51;103.6039149;0.031904668;0.52315831;0.093445899
38_857;867100;2042200;-2.418276987;-0.768063611;33;85.80671787;0.121639337;0.475109646;0.165703191
86_1078;469100;2164200;0.050446374;-0.749862599;50;104.2839608;0.110845353;0.472132302;0.157189112
86_448;469100;2198200;-0.067670747;-0.737672874;47;123.0155069;0.074419501;0.521393687;0.142235874
87_289;497100;2124200;-2.309816041;-0.735956635;48;108.9932903;0.041134681;0.507015893;0.102831374
17_1359;361100;2062200;-0.559011466;-0.71294717;43;114.6951053;0.102206887;0.467591633;0.149488165
70_775;861100;2296200;-0.303968494;-0.696079786;61;104.0412847;0.278799883;0.543746133;0.287106136
1_1159;831100;2106200;-0.762131229;-0.691356844;49;117.7802871;0.048817341;0.447723874;0.098923008
44_1132;285100;2260200;-2.127179854;-0.687377995;40;111.5841889;0.04827675;0.561661633;0.12340813
13_786;789100;1836200;0.761349594;-0.668888366;30;114.5224947;0.090937449;0.43157136;0.130143955
8_1188;781100;2486200;-0.229925004;-0.660515361;50;106.5480423;0.06894188;0.533697666;0.140131852
28_335;501100;2398200;-1.052611154;-0.660145393;46;102.0524276;0.024032301;0.361267616;0.056004988
66_248;617100;1744200;-1.407894639;-0.642070164;43;103.3503885;0.057208328;0.580637371;0.13887837
28_425;499100;2392200;0.705189678;-0.63605937;48;110.705509;0.087064166;0.503575715;0.148588261
87_728;499100;2092200;-2.507706562;-0.62163468;45;110.5299783;0.078180589;0.448399895;0.125376162
41_1337;533100;2264200;-0.414404252;-0.618058557;60;111.7713644;0.010052759;0.469219759;0.047045591
65_502;447100;1788200;-1.6559011;-0.611749233;54;102.2910003;0.029452468;0.473256488;0.08121896
8_1195;795100;2486200;0.246222032;-0.600357797;54;102.4561821;0.09141528;0.6049744;0.182913767
10_702;763100;2372200;0.490842582;-0.57005905;54;102.5689206;0.039191996;0.47641951;0.09431662
22_901;267100;2394200;1.339133271;-0.56673619;41;110.268535;0.111830291;0.363703819;0.121626326
55_893;843100;2440200;-1.421261028;-0.562764435;53;111.2353305;0.022841112;0.40407742;0.061069337
21_696;757100;2286200;-0.967646444;-0.558663798;54;100.3863151;0.169037921;0.572389903;0.235333653
